rank,first_name,last_name,team,position,gp,shoots,goals,assists,points,ppg
818,Jacob,BriseBois,Choate Rosemary Hall,D,10,R,0,2,2,0.2
819,Brady,Leonard,Albany Academy,F,7,L,1,0,1,0.14
820,Justin,L'Abbe,Hotchkiss School,F,10,L,1,0,1,0.1
821,Duncan,Vittands,Austin Prep,F,17,R,1,0,1,0.06
822,Brayden,McKenna,Brewster,F,7,,1,0,1,0.14
823,Nicholas,Jakowiw,Hoosac,F,9,R,1,0,1,0.11
824,Nicholiah,Montano Rodriguez,Mount St. Charles,F,10,L,1,0,1,0.1
825,Liam,Guilderson,Dexter,F,12,L,1,0,1,0.08
826,Payton,Helt,Hebron,F/D,15,L,1,0,1,0.07
827,Matteo,Pani,Hebron,,15,,1,0,1,0.07
828,Cam,Wilkinson,North Yarmouth,F,20,R,1,0,1,0.05
829,Ethan,Wei,Lawrenceville School,F/D,11,R,1,0,1,0.09
830,Luca,Carlomusto,Hebron,F,15,,1,0,1,0.07
831,James,Foster,Rivers School,D,10,L,1,0,1,0.1
832,Brooks,Armstrong,Avon Old Farms,F,11,R,1,0,1,0.09
833,Tim,Jia,Kents Hill,F,16,L,1,0,1,0.06
834,Chase,Collins,Milton Academy,F,16,L,1,0,1,0.06
835,Miles,Bronson,Choate Rosemary Hall,F,5,R,1,0,1,0.2
836,Bryce,Mastriano,Loomis Chaffee,F,12,R,1,0,1,0.08
837,Colton,McNamara,Tabor,D,9,L,1,0,1,0.11
838,Trey,O'Keefe,Hebron,F,15,,1,0,1,0.07
839,Markus,Gentile,Berkshire School,F,11,R,1,0,1,0.09
840,Chris,D'Alleva,Pingree,F,13,R,1,0,1,0.08
841,Laurent,Normand,Hebron,F,15,,1,0,1,0.07
842,Adam,Boys,Proctor Academy,F,16,R,1,0,1,0.06
843,Daniel,Pratt,Thayer Academy,F,7,R,1,0,1,0.14
844,Joseph,Mallette,Canterbury,D,9,,1,0,1,0.11
845,Mason,Kuchinski,Canterbury,F,15,,1,0,1,0.07
846,William,Raymond,Belmont Hill,F,16,,1,0,1,0.06
847,Jonathan,Clark,Brooks School,F,11,L,1,0,1,0.09
848,Alex,Munoz,Noble & Greenough,D/F,13,R,1,0,1,0.08
849,Jake,Glickman,Pomfret,F,16,,1,0,1,0.06
850,Logan,Cantele,Lawrence Academy,D,13,R,1,0,1,0.08
851,John,Mara,Lawrence Academy,D,13,L,1,0,1,0.08
852,Leeo,Cote-Tardif,Vermont Academy,F,16,R,1,0,1,0.06
853,Whit,Fusting,St. Paul's School,D,16,L,1,0,1,0.06
854,Ty,Higginbotham,Hotchkiss School,F,10,R,1,0,1,0.1
855,Max,Romano,St. Paul's School,F,15,L,1,0,1,0.07
856,Chase,Kopley,Worcester Academy,D,13,R,1,0,1,0.08
857,Elliot,Watson,Salisbury School,D,12,,1,0,1,0.08
858,Connor,Mudd,Deerfield Academy,F,12,L,1,0,1,0.08
859,Kota,Shinozaki,Middlesex,F,10,L,1,0,1,0.1
860,David,Moroz,Middlesex,F,10,L,1,0,1,0.1
861,Griffin,Taylor,New Hampton,F,12,R,1,0,1,0.08
862,John,Donohue,Westminster,D,11,L,1,0,1,0.09
863,Troy,Hamelin,Frederick Gunn,F,15,L,1,0,1,0.07
864,Vassar,Tarumianz,Lawrenceville School,F,10,R,1,0,1,0.1
865,William,Nadeau,Williston-Northampton,D,15,R,1,0,1,0.07
866,Sawyer,Berzins,Williston-Northampton,D,15,L,1,0,1,0.07
867,Luke,Kelley,Proctor Academy,D,16,R,1,0,1,0.06
868,Jake,Thompson,North Yarmouth,F,9,R,0,1,1,0.11
869,Dave,Cho,Berkshire School,D,9,L,0,1,1,0.11
870,Max,Troubh,Tilton,D,15,L,0,1,1,0.07
871,Owen,Giles,Brunswick,F,14,,0,1,1,0.07
872,Hunter,Harper,Brunswick,F,13,,0,1,1,0.08
873,Cooper,Bell,Austin Prep,D,17,R,0,1,1,0.06
874,Connor,Long,Tilton,F,13,R,0,1,1,0.08
875,Brady,Hall,St. Paul's School,D,7,R,0,1,1,0.14
876,Logan,Wood,Brewster,D,7,,0,1,1,0.14
877,Thomas,Hoh,Lawrenceville School,D,9,L,0,1,1,0.11
878,Reed,Enders,Milton Academy,F,16,R,0,1,1,0.06
879,Keegan,Norton,Berwick,D/F,15,R,0,1,1,0.07
880,Devlin,Thomas,Mount St. Charles,F,9,L,0,1,1,0.11
881,Matthew,Rodriguez,Williston-Northampton,D,15,,0,1,1,0.07
882,Peter,Royer,Frederick Gunn,F,15,L,0,1,1,0.07
883,Curtis,Savage,Berwick,D,15,R,0,1,1,0.07
884,Kellar,Kelusky,Deerfield Academy,F,10,L,0,1,1,0.1
885,Caleb,Regner,Deerfield Academy,F,12,R,0,1,1,0.08
886,Carsen,Cunningham,Worcester Academy,D,13,R,0,1,1,0.08
887,Christian,Renaud,Pingree,F,12,R,0,1,1,0.08
888,Adam,Fraser,Millbrook,F,16,L,0,1,1,0.06
889,Luca,Damian,Brooks School,,11,,0,1,1,0.09
890,Liam,Boyle,Belmont Hill,F,16,L,0,1,1,0.06
891,Vincent,Vitale,Holderness,G,12,L,0,1,1,0.08
892,Evan,Waden,St. Marks,F,10,L,0,1,1,0.1
893,Sammy,Baymout,Hebron,D,15,R,0,1,1,0.07
894,Gianluca,Zappitelli,Hebron,F,15,,0,1,1,0.07
895,Brady,Hanlon,Dexter,F,16,R,0,1,1,0.06
896,AJ,Haas,Cushing Academy,D,15,R,0,1,1,0.07
897,Jack,Morley,Vermont Academy,D,16,L,0,1,1,0.06
898,James,Bellig,Deerfield Academy,F,12,R,0,1,1,0.08
899,Chris,Chun,Hotchkiss School,D,10,R,0,1,1,0.1
900,Cam,Gardiner,North Yarmouth,D,19,L,0,1,1,0.05
901,Nolan,Boyle,Belmont Hill,F,16,,0,1,1,0.06
902,Connor,Callahan,Noble & Greenough,F,13,R,0,1,1,0.08
903,Vinnie,Mercadante,Hotchkiss School,F,8,R,0,1,1,0.13
904,Ryder,Press,Kent School,D,13,L,0,1,1,0.08
905,Julian,Ikeda-Thew,Brunswick,F,12,,0,1,1,0.08
906,Lukas,Reisen,Frederick Gunn,F,15,R,0,1,1,0.07
907,Tyler,Roccas,Salisbury School,D,12,,0,1,1,0.08
908,Milo,Conlin,Middlesex,F,10,R,0,1,1,0.1
909,Giuseppe,Moriello,Middlesex,D,10,L,0,1,1,0.1
910,Hayden,Postles,Vermont Academy,D,16,R,0,1,1,0.06
911,Stephen,King,Avon Old Farms,F,11,R,0,1,1,0.09
912,Jace,Knopp,Canterbury,D,15,,0,1,1,0.07
913,Brayden,Bowes,Pomfret,F,16,,0,1,1,0.06
914,Escher,Briere,Exeter,F,14,R,0,1,1,0.07
915,Thomas,Hamilton,Taft,D,10,R,0,1,1,0.1
916,Ettore,Monson,Groton,D,13,L,0,1,1,0.08
917,Bhaveeth,Vemulapalli,Exeter,F,14,L,0,1,1,0.07
918,Max,Froeschl,Exeter,D,14,R,0,1,1,0.07
919,Beckham,Gould,Exeter,F,14,R,0,1,1,0.07
920,Colin,Reilly,Tilton,D,15,R,0,1,1,0.07
921,Will,Booth,Albany Academy,D,15,L,0,1,1,0.07
922,Tristan,Murgo,Tilton,D,6,L,0,1,1,0.17
923,Soja,Russell,Berkshire School,F/D,15,R,0,1,1,0.07
924,Zai,Ferraro,Brunswick,G,14,,0,1,1,0.07
925,Trevor,DiMaio,Brunswick,D,14,,0,1,1,0.07
926,Hunter,Dryden,Taft,G,10,L,0,1,1,0.1
927,Cam,Ingram,Kimball Union,G,20,,0,1,1,0.05
928,Noah,Wood,Groton,D,13,,0,1,1,0.08
929,Owen,Ma,St. Marks,F,12,,0,1,1,0.08
930,Christopher,Kimmel,Brewster,D,7,,0,1,1,0.14
931,James,Small,The Hill School,F,16,R,0,1,1,0.06
932,Brody,Gouin,Wilbraham & Monson,D,5,R,0,1,1,0.2
933,Owen,Dutton,Proctor Academy,D,16,L,0,1,1,0.06
934,Greer,Difani,New Hampton,D,16,R,0,1,1,0.06
935,Matt,Rioux,Berwick,F,11,R,0,1,1,0.09
936,Aidan,Quinn,Mount St. Charles,D,8,R,0,1,1,0.13
937,Johan,Wilkerson,Deerfield Academy,D,9,R,0,1,1,0.11
938,Anton,Kabanov,Berwick,D,15,L,0,1,1,0.07
939,Andrew,Moawad,Millbrook,G,13,L,0,1,1,0.08
940,Reid,Gueldenzoph,Kimball Union,D,20,,0,1,1,0.05
941,David,O'Brien,Thayer Academy,D,4,L,0,1,1,0.25
942,Nolan,Wellman,Hebron,F,15,R,0,1,1,0.07
943,Ethan,Bauer,Belmont Hill,G,16,,0,1,1,0.06
944,Sam,Gerst,Proctor Academy,D,16,L,0,1,1,0.06
945,MIchael,Phelan,Albany Academy,D,18,R,0,1,1,0.06
946,Brendan,Martin,St. Sebastian's,D,12,R,0,1,1,0.08
947,Noah,Indes,Canterbury,F,15,L,0,1,1,0.07
948,Joe,Mascari,St. Marks,F,11,,0,1,1,0.09
949,Evan,Alifieris,St. Marks,F,12,,0,1,1,0.08
950,Caleb,Guthrie,Pingree,LW,13,L,0,1,1,0.08
951,Alessandro,Dolder,Brunswick,D,14,,0,1,1,0.07
952,Declan,Minella,Brunswick,D,14,,0,1,1,0.07
953,Beckett,Stenz,Hotchkiss School,D,10,R,0,1,1,0.1
954,Landon,Nickulas,Cushing Academy,D,9,L,0,1,1,0.11
955,Patrick,Viano,Milton Academy,D,16,L,0,1,1,0.06
956,Luke,Fox,St. Georges,D,12,R,0,1,1,0.08
957,Vinnie,D'Urso,Tabor,G,13,L,0,1,1,0.08
958,Adam,Beltrami,Thayer Academy,D,14,R,0,1,1,0.07
959,Matteo,Gil,Governors Academy,F,13,R,0,1,1,0.08
960,Dom,Zabat,Lawrenceville School,D,11,R,0,1,1,0.09
961,Teddy,Smart,Lawrenceville School,D,11,L,0,1,1,0.09
962,Ace,Watson,Frederick Gunn,F,15,R,0,1,1,0.07
963,Tiger,Tang,BB&N,D,11,L,0,1,1,0.09
964,Brady,Mulloy,Vermont Academy,D,16,L,0,1,1,0.06
965,Eli,Zucker,Milton Academy,G,16,,0,1,1,0.06
966,Lucas,Lian,Middlesex,F,10,L,0,1,1,0.1
967,Parker,Boyce,Middlesex,F,10,R,0,1,1,0.1
968,Tei,Lee,Pomfret,F,16,R,0,1,1,0.06
969,Jeremy,Acrobati,Vermont Academy,F,16,L,0,1,1,0.06
970,Jack,Giamou,Frederick Gunn,D,15,L,0,1,1,0.07
971,Lincoln,Durfee,Taft,D,5,R,0,1,1,0.2
972,Liam,TenHarmsel,Andover,D,15,R,0,1,1,0.07
973,Jack,Bruning,St. Paul's School,D,9,L,0,1,1,0.11
974,Trey,Ledoux,Wilbraham & Monson,F,5,,0,1,1,0.2
975,Alex,Wang,Kents Hill,F,16,L,0,1,1,0.06
976,Billy,Weller,Deerfield Academy,D,12,L,0,1,1,0.08
977,Matthew,Ingersoll,Berwick,D,15,R,0,1,1,0.07
978,Luca,Fantasia,Williston-Northampton,D,15,R,0,1,1,0.07
979,Lincoln,Smith,Pomfret,F,16,,0,1,1,0.06
980,Tommy,Drienik,Taft,D,9,R,0,1,1,0.11
981,Charlie,Stevens,Taft,F,10,R,0,1,1,0.1
982,Basil,Hemberger,Lawrenceville School,G,11,L,0,1,1,0.09
983,Matt,Haley,Worcester Academy,D,13,L,0,1,1,0.08
